FECHA,Year,Month,Zona,PromDiario,Max,Min,Indice,Clase
2019-04-24,2019,4,NO,37.0,59.0,12.0,46.25,Buena
2019-04-24,2019,4,SE,42.4,62.0,33.0,53.018,Regular
2019-04-24,2019,4,SO,31.4,55.0,16.0,39.25,Buena
2019-04-25,2019,4,CE,38.1,59.0,23.0,47.625,Buena
2019-04-25,2019,4,NE,42.0,65.0,15.0,52.441,Regular
2019-04-25,2019,4,NO,41.2,62.0,28.0,51.288,Regular
2019-04-25,2019,4,SE,44.9,56.0,23.0,56.621,Regular
2019-04-25,2019,4,SO,31.0,52.0,7.0,38.75,Buena
2019-04-26,2019,4,CE,35.8,52.0,6.0,44.75,Buena
2019-04-26,2019,4,NE,34.8,57.0,19.0,43.5,Buena
2019-04-26,2019,4,NO,37.0,53.0,18.0,46.25,Buena
2019-04-26,2019,4,SE,42.8,63.0,26.0,53.594,Regular
2019-04-26,2019,4,SO,33.8,54.0,15.0,42.25,Buena
2019-04-27,2019,4,CE,39.3,62.0,17.0,49.125,Buena
2019-04-27,2019,4,NE,39.5,64.0,20.0,49.375,Buena
2019-04-27,2019,4,NO,37.6,62.0,19.0,47.0,Buena
2019-04-27,2019,4,SE,41.0,70.0,23.0,51.0,Regular
2019-04-27,2019,4,SO,34.9,54.0,15.0,43.625,Buena
2019-04-28,2019,4,CE,40.8,64.0,27.0,0.0,Buena
2019-04-28,2019,4,NE,40.0,59.0,19.0,50.0,Buena
2019-04-28,2019,4,NO,43.4,60.0,21.0,54.459,Regular
2019-04-28,2019,4,SE,44.3,60.0,27.0,55.756,Regular
2019-04-28,2019,4,SO,36.1,53.0,22.0,45.125,Buena
2019-04-29,2019,4,CE,41.8,60.0,28.0,52.153,Regular
2019-04-29,2019,4,NE,39.3,65.0,16.0,49.125,Buena
2019-04-29,2019,4,NO,40.5,62.0,28.0,0.0,Buena
2019-04-29,2019,4,SE,45.1,66.0,21.0,56.909,Regular
2019-04-29,2019,4,SO,35.3,55.0,17.0,44.125,Buena
2019-04-30,2019,4,CE,31.5,57.0,5.0,39.375,Buena
2019-04-30,2019,4,NE,30.5,57.0,6.0,38.125,Buena
2019-04-30,2019,4,NO,34.6,58.0,5.0,43.25,Buena
2019-04-30,2019,4,SE,29.4,44.0,10.0,36.75,Buena
2019-04-30,2019,4,SO,22.8,45.0,4.0,28.5,Buena
2019-05-01,2019,5,CE,37.8,61.0,15.0,47.25,Buena
2019-05-01,2019,5,NE,37.8,71.0,14.0,47.25,Buena
2019-05-01,2019,5,NO,33.5,60.0,11.0,41.875,Buena
2019-05-01,2019,5,SE,35.6,59.0,16.0,44.5,Buena
2019-05-01,2019,5,SO,28.7,46.0,3.0,35.875,Buena
2019-05-02,2019,5,CE,31.2,52.0,5.0,39.0,Buena
2019-05-02,2019,5,NE,34.4,65.0,12.0,43.0,Buena
2019-05-02,2019,5,NO,25.5,44.0,12.0,31.875,Buena
2019-05-02,2019,5,SE,34.1,54.0,15.0,42.625,Buena
2019-05-02,2019,5,SO,23.1,44.0,11.0,28.875,Buena
2019-05-03,2019,5,CE,24.0,44.0,7.0,30.0,Buena
2019-05-03,2019,5,NE,24.1,61.0,4.0,30.125,Buena
2019-05-03,2019,5,NO,20.0,44.0,5.0,25.0,Buena
2019-05-03,2019,5,SE,22.5,39.0,5.0,28.125,Buena
2019-05-03,2019,5,SO,14.1,33.0,3.0,17.625,Buena
2019-05-04,2019,5,CE,31.0,50.0,18.0,38.75,Buena
